time,X_value,Y_value,Z_value
27.843,-2.06644,2.35813,-15.82574
27.955,-2.24984,2.36152,-15.84831
28.072,-2.28833,2.42873,-15.85991
28.138,-2.28212,2.30979,-15.86923
28.263,-2.43039,2.17973,-15.88504
28.375,-2.27567,2.16637,-15.91867
28.452,-2.12391,2.4039,-15.92422
28.551,-2.02948,2.38081,-15.94078
28.681,-2.12642,2.42353,-15.95953
28.731,-1.97005,2.44853,-15.97575
28.858,-1.89577,2.64677,-15.98677
28.997,-1.83522,2.50271,-16.01801
29.031,-1.85907,2.43136,-16.03354
29.153,-2.06953,2.36973,-16.03271
29.283,-1.90304,2.23122,-16.04761
29.339,-1.99896,2.23569,-16.06825
29.452,-1.88253,2.23758,-16.084
29.574,-1.73193,2.46408,-16.10826
29.633,-1.82712,2.36704,-16.10271
29.753,-2.13101,2.09535,-16.03144
29.875,-2.50672,2.143,-15.90559
29.958,-2.50965,1.91287,-15.86823
30.06,-2.48942,1.80032,-15.78586
30.174,-2.14451,1.89786,-15.69231
30.235,-2.09774,2.1385,-15.65107
30.362,-1.83962,2.16843,-15.57689
30.482,-1.69854,2.07118,-15.51324
30.537,-1.69648,2.21582,-15.49183
30.665,-1.97036,2.23495,-15.46626
30.802,-2.24747,2.54881,-15.40989
30.835,-2.38825,2.41264,-15.3839
30.952,-2.56731,2.1369,-15.33993
31.076,-2.75758,2.36751,-15.29872
31.134,-2.68585,2.43016,-15.26409
31.26,-2.2476,2.56006,-15.22611
31.375,-2.16934,2.75774,-15.22592
31.448,-2.25978,2.45574,-15.22578
31.556,-2.1132,1.52646,-15.24364
31.674,-2.65215,0.80029,-15.2332
31.765,-2.96131,2.1127,-15.20348
31.867,-2.47685,3.00928,-15.22158
31.975,-2.61699,1.78487,-15.24032
32.04,-2.70911,1.57141,-15.26034
32.158,-2.89607,1.04149,-15.28231
32.277,-2.87296,1.76618,-15.29333
32.335,-2.83596,1.6858,-15.30266
32.456,-2.71606,1.66384,-15.33297
32.582,-2.65294,1.8706,-15.35686
32.641,-2.57297,1.96717,-15.38177
32.755,-2.39402,1.90115,-15.40544
32.875,-2.21079,1.92738,-15.44062
32.936,-2.20538,1.79252,-15.45387
33.059,-2.03353,2.48829,-15.48673
33.181,-1.51566,2.62609,-15.53945
33.241,-1.52807,2.80278,-15.56401
33.361,-1.42181,2.67168,-15.60604
33.48,-1.60095,2.61884,-15.62405
33.546,-1.62082,2.7589,-15.64316
33.67,-1.64147,3.05172,-15.6754
33.778,-1.58,3.24712,-15.6943
33.837,-1.44555,3.51125,-15.71435
33.985,-1.35339,3.72404,-15.7262
34.083,-1.9996,3.47179,-15.71571
34.137,-1.65904,3.56876,-15.75497
34.272,-1.3578,4.3278,-15.80567
34.41,-1.14865,4.70681,-15.85021
34.438,-1.27628,4.6444,-15.83739
34.557,-1.3379,4.32179,-15.8539
34.68,-1.50431,3.91856,-15.8689
34.738,-1.47619,3.92723,-15.88109
34.862,-1.41119,4.41411,-15.90562
34.983,-1.48699,4.23743,-15.89516
35.044,-1.34597,4.21559,-15.9085
35.16,-1.2036,4.56954,-15.9315
35.277,-1.33395,4.54423,-15.94055
35.34,-1.4119,4.39468,-15.9473
35.459,-1.62559,3.893,-15.95276
35.578,-1.67231,3.93957,-15.96146
35.658,-1.6967,4.15913,-15.97669
35.763,-1.71498,4.41462,-15.9825
35.879,-1.51838,4.28574,-16.02847
35.939,-1.42515,4.50522,-16.0409
36.068,-1.26727,4.79676,-16.05375
36.187,-1.40234,4.57017,-16.08396
36.238,-1.66717,4.61189,-16.07236
36.363,-1.62707,4.86481,-16.09866
36.487,-1.75644,4.94834,-16.10679
36.539,-1.76279,5.26442,-16.11479
36.659,-1.58055,5.06884,-16.1466
36.78,-1.68614,5.00166,-16.15383
36.841,-1.75386,4.91982,-16.16046
36.961,-1.71732,4.59433,-16.16201
37.081,-1.62346,4.55294,-16.14555
37.141,-1.48304,4.75343,-16.1354
